,Date,Time,Size,Price
0,"Friday, March 8, 2019",4:26 PM EST,12,$296
1,"Friday, March 8, 2019",4:17 PM EST,5,$372
2,"Friday, March 8, 2019",4:14 PM EST,9.5,$352
3,"Friday, March 8, 2019",4:11 PM EST,10.5,$330
4,"Friday, March 8, 2019",4:10 PM EST,9.5,$352
5,"Friday, March 8, 2019",3:57 PM EST,9,$348
6,"Friday, March 8, 2019",3:54 PM EST,9,$347
7,"Friday, March 8, 2019",3:50 PM EST,11.5,$335
8,"Friday, March 8, 2019",3:31 PM EST,10.5,$339
9,"Friday, March 8, 2019",3:17 PM EST,9.5,$356
10,"Friday, March 8, 2019",3:01 PM EST,10,$340
11,"Friday, March 8, 2019",2:50 PM EST,4,$360
12,"Friday, March 8, 2019",2:47 PM EST,11,$321
13,"Friday, March 8, 2019",2:46 PM EST,12.5,$298
14,"Friday, March 8, 2019",2:44 PM EST,6,$420
15,"Friday, March 8, 2019",2:39 PM EST,12,$286
16,"Friday, March 8, 2019",2:11 PM EST,7,$430
17,"Friday, March 8, 2019",1:34 PM EST,10.5,$339
18,"Friday, March 8, 2019",1:32 PM EST,11,$321
19,"Friday, March 8, 2019",12:33 PM EST,12,$288
